__time,/psm_joint_telemetry/header/stamp,/psm_joint_telemetry/insertion/effort,/psm_joint_telemetry/insertion/position,/psm_joint_telemetry/insertion/velocity,/psm_joint_telemetry/pitch/effort,/psm_joint_telemetry/pitch/position,/psm_joint_telemetry/pitch/velocity,/psm_joint_telemetry/roll/effort,/psm_joint_telemetry/roll/position,/psm_joint_telemetry/roll/velocity,/psm_joint_telemetry/servo1/effort,/psm_joint_telemetry/servo1/position,/psm_joint_telemetry/servo1/velocity,/psm_joint_telemetry/servo2/effort,/psm_joint_telemetry/servo2/position,/psm_joint_telemetry/servo2/velocity,/psm_joint_telemetry/servo3/effort,/psm_joint_telemetry/servo3/position,/psm_joint_telemetry/servo3/velocity,/psm_joint_telemetry/servo4/effort,/psm_joint_telemetry/servo4/position,/psm_joint_telemetry/servo4/velocity
1751979494.904733,24.411000000,60.634273529,0.030000001,0.000000000,0.435383469,-0.785269439,-73.239173889,1.449115157,1.076998949,-13.024066925,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751979494.907322,24.414000000,60.634273529,0.030000001,0.000000000,0.435383469,-0.785269439,-73.239173889,1.449115157,1.076998949,-13.024066925,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751979494.909930,24.416000000,60.634273529,0.030000001,0.000000000,0.435383469,-0.785269439,-73.239173889,1.449115157,1.076998949,-13.024066925,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751979494.912505,24.419000000,60.634273529,0.030000001,0.000000000,0.435383469,-0.798768997,-74.049148560,1.449115157,1.076998949,-13.024066925,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751979494.915071,24.421000000,60.634273529,0.030000001,0.000000000,0.435383469,-0.798768997,-74.049148560,1.449115157,1.076998949,-13.024066925,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751979494.917675,24.424000000,60.605075836,0.030000001,0.000000000,0.416852415,-0.798768997,-72.937286377,1.382721901,1.076998949,-10.700303078,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751979494.920262,24.427000000,60.605075836,0.030000001,0.000000000,0.416852415,-0.798768997,-72.937286377,1.382721901,1.076998949,-10.700303078,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751979494.922877,24.429000000,60.605075836,0.030000001,0.000000000,0.416852415,-0.812271237,-73.747413635,1.382721901,1.068000197,-11.015259743,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751979494.925517,24.432000000,60.568347931,0.030000001,0.000000000,0.383596987,-0.825770795,-72.562065125,1.316926956,1.068000197,-8.712436676,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751979494.928163,24.434000000,60.568347931,0.030000001,0.000000000,0.383596987,-0.825770795,-72.562065125,1.316926956,1.068000197,-8.712436676,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
