__time,/psm_joint_telemetry/header/stamp,/psm_joint_telemetry/insertion/effort,/psm_joint_telemetry/insertion/position,/psm_joint_telemetry/insertion/velocity,/psm_joint_telemetry/pitch/effort,/psm_joint_telemetry/pitch/position,/psm_joint_telemetry/pitch/velocity,/psm_joint_telemetry/roll/effort,/psm_joint_telemetry/roll/position,/psm_joint_telemetry/roll/velocity,/psm_joint_telemetry/servo1/effort,/psm_joint_telemetry/servo1/position,/psm_joint_telemetry/servo1/velocity,/psm_joint_telemetry/servo2/effort,/psm_joint_telemetry/servo2/position,/psm_joint_telemetry/servo2/velocity,/psm_joint_telemetry/servo3/effort,/psm_joint_telemetry/servo3/position,/psm_joint_telemetry/servo3/velocity,/psm_joint_telemetry/servo4/effort,/psm_joint_telemetry/servo4/position,/psm_joint_telemetry/servo4/velocity
1751878697.671336,40.507000000,0.000000000,0.000000000,0.000000000,8.116837729,8.219455719,-56.068096161,0.000000000,-0.137998760,-18.381916046,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.673885,40.510000000,0.000000000,0.000000000,0.000000000,8.063907196,8.151952744,-56.513732910,0.000000000,-0.137998760,-18.387378693,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.676427,40.512000000,0.000000000,0.000000000,0.000000000,7.984271546,8.084452629,-54.491924286,0.000000000,-0.137998760,-18.392124176,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.678976,40.515000000,0.000000000,0.000000000,0.000000000,7.931039680,8.016949654,-56.762851715,0.000000000,-0.137998760,-18.396223068,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.681481,40.517000000,0.000000000,0.000000000,0.000000000,7.850880482,7.962948322,-54.410133362,0.000000000,-0.137998760,-18.400060654,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.683989,40.520000000,0.000000000,0.000000000,0.000000000,7.797251540,7.881948471,-54.962886810,0.000000000,-0.137998760,-18.402742386,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.686497,40.522000000,0.000000000,0.000000000,0.000000000,7.716577386,7.814445019,-54.726539612,0.000000000,-0.137998760,-18.405271530,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.689007,40.525000000,0.000000000,0.000000000,0.000000000,7.662659489,7.773943901,-56.453830719,0.000000000,-0.137998760,-18.408018112,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.691551,40.527000000,0.000000000,0.000000000,0.000000000,7.581479423,7.706443310,-50.253814697,0.000000000,-0.137998760,-18.409748077,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.694095,40.530000000,0.000000000,0.000000000,0.000000000,7.500000000,7.611941338,-48.612136841,0.000000000,-0.137998760,-18.410497665,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.696595,40.532000000,0.000000000,0.000000000,0.000000000,7.445498325,7.557940006,-54.394348145,0.000000000,-0.137998760,-18.411901474,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.699112,40.535000000,0.000000000,0.000000000,0.000000000,7.363579274,7.517438889,-49.412944794,0.000000000,-0.137998760,-18.413354874,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.701616,40.537000000,0.000000000,0.000000000,0.000000000,7.308752723,7.436436176,-47.843994141,0.000000000,-0.137998760,-18.413595200,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.704136,40.540000000,0.000000000,0.000000000,0.000000000,7.226298810,7.355433464,-47.542514801,0.000000000,-0.137998760,-18.413612366,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.706686,40.542000000,0.000000000,0.000000000,0.000000000,7.171205903,7.287932873,-51.524429321,0.000000000,-0.128999949,-17.527729034,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.709208,40.545000000,0.000000000,0.000000000,0.000000000,7.088278372,7.220429897,-49.184814453,0.000000000,-0.128999949,-17.495843887,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.711967,40.547000000,0.000000000,0.000000000,0.000000000,7.032820016,7.139429569,-51.390056610,0.000000000,-0.128999949,-17.466665268,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.714419,40.550000000,0.000000000,0.000000000,0.000000000,6.949427782,7.058426857,-51.768783569,0.000000000,-0.128999949,-17.440254211,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.717065,40.553000000,0.000000000,0.000000000,0.000000000,6.893715791,6.990923882,-54.978622437,0.000000000,-0.128999949,-17.416688919,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.719617,40.555000000,0.000000000,0.000000000,0.000000000,6.809868174,6.909924030,-52.865413666,0.000000000,-0.128999949,-17.395000458,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.722148,40.558000000,0.000000000,0.000000000,0.000000000,6.725751669,6.801919460,-52.745613098,0.000000000,-0.128999949,-17.374629974,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.724663,40.560000000,0.000000000,0.000000000,0.000000000,6.669508366,6.707417011,-60.886566162,0.000000000,-0.128999949,-17.356424332,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.727226,40.563000000,0.000000000,0.000000000,0.000000000,6.584951044,6.653416157,-61.588829041,0.000000000,-0.128999949,-17.340866089,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.729767,40.565000000,0.000000000,0.000000000,0.000000000,6.528470806,6.585915565,-61.492965698,0.000000000,-0.128999949,-17.326416016,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.732274,40.568000000,0.000000000,0.000000000,0.000000000,6.443482107,6.491413593,-59.298320770,0.000000000,-0.128999949,-17.312608719,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.734793,40.570000000,0.000000000,0.000000000,0.000000000,6.386663349,6.410410881,-65.078346252,0.000000000,-0.128999949,-17.300317764,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.737321,40.573000000,0.000000000,0.000000000,0.000000000,6.301306807,6.356410027,-63.814037323,0.000000000,-0.128999949,-17.289739609,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751878697.739836,40.576000000,0.000000000,0.000000000,0.000000000,6.244209705,6.275406837,-63.794738770,0.000000000,-0.128999949,-17.279451370,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
