__time,/psm_joint_telemetry/header/stamp,/psm_joint_telemetry/insertion/effort,/psm_joint_telemetry/insertion/position,/psm_joint_telemetry/insertion/velocity,/psm_joint_telemetry/pitch/effort,/psm_joint_telemetry/pitch/position,/psm_joint_telemetry/pitch/velocity,/psm_joint_telemetry/roll/effort,/psm_joint_telemetry/roll/position,/psm_joint_telemetry/roll/velocity,/psm_joint_telemetry/servo1/effort,/psm_joint_telemetry/servo1/position,/psm_joint_telemetry/servo1/velocity,/psm_joint_telemetry/servo2/effort,/psm_joint_telemetry/servo2/position,/psm_joint_telemetry/servo2/velocity,/psm_joint_telemetry/servo3/effort,/psm_joint_telemetry/servo3/position,/psm_joint_telemetry/servo3/velocity,/psm_joint_telemetry/servo4/effort,/psm_joint_telemetry/servo4/position,/psm_joint_telemetry/servo4/velocity
1751880588.213251,23.180000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.177754462,-87.039375305,-19.740490386,-20.180999756,-15.417842865,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751880588.215761,23.183000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.177754462,-87.039443970,-19.760273875,-20.198999405,-15.355424881,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751880588.218283,23.186000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.177754462,-87.039512634,-19.773037727,-20.225999832,-15.853700638,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751880588.220839,23.188000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.177754462,-87.039588928,-19.791520899,-20.243999481,-15.836744308,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751880588.223413,23.191000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.177754462,-87.039657593,-19.803411046,-20.262001038,-16.050634384,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751880588.225945,23.193000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.177754462,-87.039733887,-19.820597461,-20.280000687,-16.079139709,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751880588.228454,23.196000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.177754462,-87.039802551,-19.831618599,-20.298000336,-16.323337555,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751880588.231010,23.198000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.177754462,-87.039871216,-19.847500371,-20.315999985,-16.397504807,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751880588.233589,23.201000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.177754462,-87.039947510,-19.862598462,-20.333999634,-16.499042511,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
1751880588.236243,23.203000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.177754462,-87.040016174,-19.872226679,-20.352001190,-16.792106628,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
