__time,/psm_joint_telemetry/header/stamp,/psm_joint_telemetry/insertion/effort,/psm_joint_telemetry/insertion/position,/psm_joint_telemetry/insertion/velocity,/psm_joint_telemetry/pitch/effort,/psm_joint_telemetry/pitch/position,/psm_joint_telemetry/pitch/velocity,/psm_joint_telemetry/roll/effort,/psm_joint_telemetry/roll/position,/psm_joint_telemetry/roll/velocity
1747313277.314979,30.625000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833122253,0.000000000,-0.084000528,-16.815948486
1747313277.317457,30.627000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833137512,0.000000000,-0.084000528,-16.815948486
1747313277.319906,30.630000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833152771,0.000000000,-0.084000528,-16.815948486
1747313277.322388,30.632000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833168030,0.000000000,-0.084000528,-16.815948486
1747313277.324793,30.635000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833183289,0.000000000,-0.084000528,-16.815948486
1747313277.327183,30.637000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833198547,0.000000000,-0.084000528,-16.815948486
1747313277.329567,30.639000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833213806,0.000000000,-0.084000528,-16.815948486
1747313277.331956,30.642000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833229065,0.000000000,-0.084000528,-16.815948486
1747313277.334398,30.644000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833244324,0.000000000,-0.084000528,-16.815948486
1747313277.336768,30.647000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833259583,0.000000000,-0.084000528,-16.815948486
1747313277.339242,30.649000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833274841,0.000000000,-0.084000528,-16.815948486
1747313277.341641,30.651000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833290100,0.000000000,-0.084000528,-16.815948486
1747313277.344022,30.654000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833305359,0.000000000,-0.084000528,-16.815948486
1747313277.346425,30.656000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833320618,0.000000000,-0.084000528,-16.815948486
1747313277.348792,30.659000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833335876,0.000000000,-0.084000528,-16.815948486
1747313277.351181,30.661000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833351135,0.000000000,-0.084000528,-16.815948486
1747313277.353606,30.663000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833366394,0.000000000,-0.084000528,-16.815948486
1747313277.356056,30.666000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833374023,0.000000000,-0.084000528,-16.815948486
1747313277.358498,30.668000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833389282,0.000000000,-0.084000528,-16.815948486
1747313277.360972,30.671000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833404541,0.000000000,-0.084000528,-16.815948486
1747313277.363433,30.673000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833419800,0.000000000,-0.084000528,-16.815948486
1747313277.365858,30.676000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833435059,0.000000000,-0.084000528,-16.815948486
1747313277.368253,30.678000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833450317,0.000000000,-0.084000528,-16.815948486
1747313277.370631,30.680000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833465576,0.000000000,-0.084000528,-16.815948486
1747313277.373118,30.683000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833480835,0.000000000,-0.084000528,-16.815948486
1747313277.375607,30.685000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833496094,0.000000000,-0.084000528,-16.815948486
1747313277.378264,30.688000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833511353,0.000000000,-0.084000528,-16.815948486
1747313277.380754,30.690000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833526611,0.000000000,-0.084000528,-16.815948486
1747313277.383219,30.693000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833541870,0.000000000,-0.084000528,-16.815948486
1747313277.385848,30.695000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833557129,0.000000000,-0.084000528,-16.815948486
1747313277.388525,30.698000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833580017,0.000000000,-0.084000528,-16.815948486
1747313277.391012,30.701000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833595276,0.000000000,-0.084000528,-16.815948486
1747313277.393532,30.703000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833610535,0.000000000,-0.084000528,-16.815948486
1747313277.396039,30.706000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833625793,0.000000000,-0.084000528,-16.815948486
1747313277.398531,30.708000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833641052,0.000000000,-0.084000528,-16.815948486
1747313277.401029,30.711000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833656311,0.000000000,-0.084000528,-16.815948486
1747313277.403646,30.713000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833671570,0.000000000,-0.084000528,-16.815948486
1747313277.406207,30.716000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833686829,0.000000000,-0.084000528,-16.815948486
1747313277.408726,30.718000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833702087,0.000000000,-0.084000528,-16.815948486
1747313277.411286,30.721000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833717346,0.000000000,-0.084000528,-16.815948486
1747313277.413701,30.723000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833732605,0.000000000,-0.084000528,-16.815948486
1747313277.416067,30.726000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833747864,0.000000000,-0.084000528,-16.815948486
1747313277.418459,30.728000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833763123,0.000000000,-0.084000528,-16.815948486
1747313277.420858,30.731000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833778381,0.000000000,-0.084000528,-16.815948486
1747313277.423277,30.733000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833793640,0.000000000,-0.084000528,-16.815948486
1747313277.425663,30.735000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833808899,0.000000000,-0.084000528,-16.815948486
1747313277.428076,30.738000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833824158,0.000000000,-0.084000528,-16.815948486
1747313277.430451,30.740000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833839417,0.000000000,-0.084000528,-16.815948486
1747313277.432846,30.743000000,0.000000000,53670.621093750,0.000000000,0.000000000,14.956124306,-64.833854675,0.000000000,-0.084000528,-16.815948486
