time,/psm_joint_telemetry/header/stamp,/psm_joint_telemetry/insertion/effort,/psm_joint_telemetry/insertion/position,/psm_joint_telemetry/insertion/velocity,/psm_joint_telemetry/pitch/effort,/psm_joint_telemetry/pitch/position,/psm_joint_telemetry/pitch/velocity,roll_effort,roll_position,roll_velocity
1746523750.00925,18.449,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.01986,18.46,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.03055,18.47,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.04186,18.482,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.05246,18.492,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.06298,18.503,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.07361,18.514,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.08511,18.525,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.09627,18.536,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.1066,18.547,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.11723,18.557,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.12786,18.568,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.13845,18.578,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.14999,18.59,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.16064,18.6,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.17138,18.611,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.18218,18.622,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.19294,18.633,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.20446,18.644,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.21528,18.655,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.2258,18.666,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.23643,18.676,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.24714,18.687,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.25775,18.698,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.2683,18.708,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.27891,18.719,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.28955,18.729,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.3012,18.741,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.31185,18.752,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.32244,18.762,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.33291,18.773,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.34357,18.784,0,60004.421875,0,0,-35.067501068,0,0,-2.999999046,-10
1746523750.35417,18.794,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.36487,18.805,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.37581,18.815,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.38637,18.826,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.39691,18.837,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.40776,18.848,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.41825,18.858,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.42863,18.869,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.43917,18.879,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.44952,18.89,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.46002,18.9,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.4706,18.911,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.48119,18.921,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.49205,18.932,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.50275,18.943,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.51332,18.953,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
1746523750.52372,18.964,0,60004.421875,0,0,-35.067501068,0,0,-2.991000175,-10
